iter	Passed	Remaining
0	1	197
1	3	178
2	5	169
3	6	158
4	8	158
5	10	168
6	12	168
7	14	165
8	16	163
9	17	161
10	19	158
11	21	156
12	23	155
13	24	152
14	26	150
15	28	148
16	29	146
17	31	144
18	33	142
19	34	138
20	36	137
21	38	135
22	39	133
23	41	130
24	42	127
25	43	124
26	45	122
27	46	120
28	48	119
29	50	117
30	51	115
31	53	113
32	54	111
33	56	109
34	57	106
35	59	105
36	60	103
37	62	101
38	63	100
39	65	98
40	66	96
41	67	92
42	68	91
43	70	89
44	71	87
45	73	86
46	75	84
47	76	83
48	78	81
49	79	79
50	81	78
51	82	76
52	84	74
53	86	73
54	87	71
55	88	69
56	90	68
57	91	66
58	93	65
59	97	64
60	99	63
61	101	62
62	103	60
63	105	59
64	107	57
65	108	56
66	111	54
67	113	53
68	114	51
69	116	50
70	118	48
71	120	46
72	122	45
73	124	43
74	126	42
75	128	40
76	130	38
77	132	37
78	134	35
79	135	33
80	137	32
81	173	37
82	174	35
83	176	33
84	178	31
85	180	29
86	181	27
87	183	25
88	185	22
89	187	20
90	189	18
91	190	16
92	192	14
93	194	12
94	195	10
95	197	8
96	199	6
97	200	4
98	202	2
99	203	0
